id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,65.3,MM,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,199.3,MM,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,389.3,MM,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,220.2,MM,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,222.3,MM,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,106.4,MM,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,39.1,MM,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,48.4,MM,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,90.8,MM,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,345.3,MM,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,442.2,MM,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,129.9,MM,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,191.0,MM,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,239.3,MM,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,292.0,MM,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,297.6,MM,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,123.9,MM,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,33.4,MM,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,0.3,MM,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,38.9,MM,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,40.8,MM,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,124.8,MM,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,483.2,MM,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,323.5,MM,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,231.6,MM,2019
26,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,269.1,MM,2019
27,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,222.7,MM,2019
28,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,298.9,MM,2019
29,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,245.7,MM,2019
30,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,26.5,MM,2019
31,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,13.4,MM,2019
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,0.2,MM,2019
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,55.0,MM,2019
34,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,84.2,MM,2019
35,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,270.7,MM,2019
